Comment,Designator,Footprint,LCSC
"5n","C1","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"10n","C2","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"47u","Cp1,C3","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"JACK_GND","H1,H2","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back",""
"LED-","H3","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back",""
"PEDAL_IN","H4","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back",""
"PEDAL_OUT","H5","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back",""
"LED+","H6","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back",""
"GND","H7","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back",""
"9V","H8","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back",""
"Conn_01x07_Male","J1","pedal-component-footprint:BoardHeader_1x07_P2.54mm_Long_FXSide",""
"Q_NPN_CBE","Q1","pedal-component-footprint:Transistor_KTYU-3-6_CBE_d11.7mm",""
"470K","R1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"3.9K","R2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"100K","RV1","MBv3 potentiometers:Trim_Multi_turns",""
"A10K","RV2","MBv3 potentiometers:16MM_B.MOUNT_BANZAI",""